variable,lag_0,pval_0,lag_1,pval_1,lag_2,pval_2,lag_3,pval_3,lag_4,pval_4,lag_5,pval_5,lag_6,pval_6,lag_7,pval_7,lag_8,pval_8
crude_oil_price,0.1073169471587725,0.34355091519323167,0.08553171061951786,0.4542245412214774,-0.014200621670701784,0.9021123298115328,-0.021900305750744222,0.8505327266302591,0.003028814083743243,0.9793543943224916,0.011010157340499161,0.925562000984286,0.02916976484922864,0.8057647204974496,0.026650215056087584,0.8234958765055302,0.034124300067055476,0.7766993795095551
wfp_wheat_price_usd_mean,0.15242718850014803,0.17594143659488504,0.13672358827450679,0.22888816568884196,0.03416233928773557,0.7672092108607309,-0.018247790182091675,0.8752451887782613,-0.04075944668725491,0.7274358018596971,0.05776600404505576,0.6234401248446289,0.10064863515311108,0.393987138469988,0.2973269582395415,0.009175495419144752,0.3804396139178101,0.0006328825557786466
wfp_maize_price_usd_mean,0.06774710788878913,0.5512771728610126,0.06484461515796582,0.5710576649459926,-0.019295064983437592,0.8672667552315463,-0.07246001615409164,0.5319924094387032,-0.06932473972094855,0.552686502774375,-0.02460944161038392,0.8345409042108476,0.013339942926713026,0.9104948700157571,0.04018037948494973,0.73653541643248,0.15832950572354854,0.18286516165053035
wfp_soybeans_price_usd_mean,0.03323126695001867,0.7763452629067957,0.08611631700149795,0.46328653335358494,0.0017302046235495865,0.9883680649186066,0.04728589831678595,0.6920568934119602,0.12968603688723648,0.277289725677867,0.02733734336975351,0.8215795981005591,0.13768834654301057,0.25517678739124094,0.09458658801648699,0.44018211787685946,-0.08646618851326751,0.48409384527221677
wfp_cotton_price_usd_mean,0.21569840505698307,0.052577475182745914,0.23282751984564656,0.03687901700920704,0.12675585251966923,0.26843909696748813,0.03956649625685596,0.7333816865687499,-0.05615616859398899,0.6308315002194858,-0.0988436711787382,0.3993158137017365,-0.1836618105864411,0.11540833844974396,-0.06462753664793917,0.5879249318921205,0.004169236288821224,0.9723727230694943
wfp_palm_oil_price_usd_mean,0.04128709154096988,0.7222389467090502,0.013625345734236878,0.9073150789112863,0.06853591844479971,0.5599490446961002,0.0025737222642526554,0.9826979201260151,0.07511273462829862,0.5285515961234002,0.03397639234625855,0.7776428300406875,0.030660309944764534,0.8003066081786168,0.056327572447211136,0.6442288943842409,-0.13421166422642092,0.2712034222552955
agri_factor,0.13073167056326257,0.24723305968949205,0.13967082475940465,0.21881871612567894,0.0411448547612293,0.7213711448149103,-0.020299351623577263,0.8613486747803687,-0.01611454720299952,0.8904770200745615,-0.009167479809992123,0.9379935781183169,0.008768417840879986,0.9411004254293838,0.10353309640730482,0.3838086247327057,0.15578561454198067,0.1901799324403166
